Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
2020-03-19,57346.984375,59396.906853469714,56500.47676229375,58484.176699716714,18081
2020-03-20,58522.82421875,60628.207518902316,57080.0655623021,57740.058820821585,12332
2020-03-23,51559.5859375,56548.45196002568,51093.05180908789,55463.24391042832,20514
2020-03-24,52182.07421875,54565.39211145093,49520.67434619472,54565.39211145093,15772
2020-03-25,56132.1640625,57244.05796128881,49759.224540766714,49759.224540766714,16480
2020-03-26,54906.42578125,60262.66232754656,54466.182276962165,56152.74894127611,16474
2020-03-27,55925.80859375,57740.107947867924,53196.29876571612,57482.16244844446,15883
2020-03-30,53946.0390625,54833.27335230388,53099.97685237987,54267.777318093395,39105
2020-03-31,57704.83984375,58843.32279912981,53693.39191646194,54168.55652873765,25755
2020-04-01,54673.3828125,57442.47566570309,54243.40520309899,57442.47566570309,20661
2020-04-03,54627.16015625,55755.919904857685,54069.35293264669,55160.660973489095,33126
2020-04-07,57245.09375,57628.98527370568,55612.100536935,56053.53374129547,18689
2020-04-08,56720.9765625,59029.83686229454,55855.12294701147,56152.75237656926,15231
2020-04-09,59543.64453125,59982.30304263265,57244.25948105006,58135.95805125059,17979
2020-04-13,56945.64453125,59358.625095879164,56649.801611112416,59029.845289245175,13752
2020-04-15,56964.0390625,58037.73720071319,56311.486555768905,58037.73720071319,17187
2020-04-16,59964.296875,61510.08658496027,56561.601669353615,56936.51401791726,22062
2020-04-17,61151.23828125,61847.39271094189,60517.9813180535,61055.59770357657,15847
2020-04-20,60898.96484375,61510.09742461391,60666.81383088936,61510.09742461391,9847
2020-04-21,58399.60546875,60313.21540097229,58038.431387562356,60021.93385446086,12668
2020-04-22,57761.88671875,59019.816762682276,57372.04253516933,58409.7771750868,14951
2020-04-23,58248.4140625,58872.939833935176,58037.74047491338,58084.369086918865,8688
2020-04-24,58340.7265625,58732.21003970857,57541.69226863339,57764.91435070999,8119
2020-04-27,58738.703125,59813.59097391897,58340.720670077266,59228.253128926226,7821
2020-04-28,58608.8828125,59327.46016614409,58087.33767103238,59327.46016614409,6233
2020-04-29,58735.875,59277.85894396511,58434.575594971466,58632.995206499385,8035
2020-04-30,60032.5,61311.663249353194,59029.7872144598,59327.46702769127,18800
2020-05-04,57529.09375,59029.78946439453,57244.06317681761,59029.78946439453,9677
2020-05-05,57293.671875,58881.029017857145,57045.64732142857,58183.583973214285,9615
2020-05-06,57901.53515625,58325.459538415846,56748.12398838018,57888.93628281281,8360
2020-05-07,58366.171875,58533.78606867428,57541.68799971369,57541.68799971369,7492
2020-05-08,58409.67578125,59310.652009934805,57988.134842191204,58436.56319032928,9752
2020-05-11,58326.6484375,58980.24356855601,57825.441154530796,58558.601793675676,12163
2020-05-12,57176.703125,58166.615589654066,56865.928369814595,58037.7435861009,8170
2020-05-13,59173.84375,59724.31098034351,57761.44471332341,58384.97842513647,16232
2020-05-14,57673.23828125,58657.79479545215,57467.67247343221,58212.34278930994,6586
